"CID","SMILES"
2336424,"CC1=CC(=C(C=C1)C)SCC(=O)OCC(=O)C2=CC=CO2"
781510,"CC1=C(C(=O)N=C(N1CC2=CC=CC=C2)C)C3=CC=CC=C3"
5742476,"CC1=CC=C(C=C1)C2=CSC(=C(C#N)C(=O)CN3CCN(CC3)C(=O)C4=CC=CO4)N2"
1389785,"C1CN(CCC1C(=O)N)C(=O)N2C3=CC=CC=C3SC4=CC=CC=C42"
2998053,"CC1=C(N2C=CC=CC2=N1)P(=NC3=CC=CC=C3)(N(C)C)N(C)C"
2336926,"C1=CC=C(C=C1)C2=CN=C(N2)SCC(=O)N"
2310667,"CC(C)N1CC(=O)C(=C1N)C2=NC3=CC=CC=C3N2"
5742485,"C1=CC=C2C(=C1)NC3=C4C=CC=CC4=NC(N23)C5=CC=CO5"
2306765,"CCCC1=CC=C(C=C1)OCCNC(=O)C"
2310181,"CCOC(=O)C1=C(N(N=C1)C2=C(C(=C(S2)C(=O)OCC)C)C(=O)OCC)N"
6603271,"CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NCC3=NC4=CC=CC=C4N3.Cl"
2306089,"CC1(C2=CC=CC=C2N(C1=CP(=O)(N(C)C)N(C)C)C)C"
929393,"COC1=CC=C(C=C1)N(C2=NCCC2)C(=O)NC3=CC=C(C=C3)Cl"
2998428,"CN(C)C1=CC=C(C=C1)P(=S)(C2=NC=CN2C=C)C3=NC=CN3C=C"
2998502,"C1CC2=C(C1)C=C(C=C2)NC(=O)C3COC4=CC=CC=C4O3"
2998505,"CCN=C1N(C(=O)C(S1)CC(=O)NC2=CC=CC=C2)CC"
2695328,"CCOC(=O)C=C1N(C(=O)CS1)CC(=O)NC2CCCCC2"
2998548,"CC1CN(CC(O1)C)C(=O)C2CCCN2S(=O)(=O)C3=CC=C(C=C3)Cl"
281156,"C1COC2(O1)C3=CC=CC=C3NC2=O"
2323143,"CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC3=NC4=CC=CC5=C4C3=CC=C5"
2313869,"CC1=CSC(=N1)C2=C(N(CC2=O)C3=CC=C(C=C3)OC)N"
2323649,"C1COCCN1S(=O)(=O)C2=CC3=C(C=C2)N=C(N3)COC4=C(C=C(C=C4)Cl)Cl"
2998637,"COC1=CC=C(C=C1)OCC2=NN=C(N2C3=CC=CC=C3)SC4CCOC4=O"
2701553,"CCSC1=NN=C(S1)NC(=O)CN(C)S(=O)(=O)C2=CC=C(C=C2)F"
2998653,"CC(C(=O)NC1=CC=CC=C1C2=CC=CC=C2)SC3=NN=NN3C"
2313384,"C1C(=O)C(=C(N1CC2=CC=CO2)N)C3=CC=CC=C3"
5742508,"CC1=C(C(=NN1C2=CC=CC=C2)C)C(=O)OCC(=O)C(=C3NC4=CC=CC=C4N3)C#N"
2998745,"CC1=CC(=C(N1CC2=CC=CS2)C)C(=O)CN3C(=O)C4=CC=CC=C4C3=O"
2998755,"CC(C)(CN(C)C)NS(=O)(=O)C1=CC=C(C=C1)Cl"
1540501,"CCOC(=O)NC1(OC2=CC=CC=C2O1)NCC3=CC=CC=C3"
2318451,"C1CCCN(CC1)S(=O)(=O)C2=C(C=CC(=C2)C(=O)O)Cl"
2999007,"CCCCCN(C(=O)NC(=O)OCC1COC2=CC=CC=C2O1)S(=O)(=O)C"
2999037,"CCC1CCCCN1P(=O)(C2=CC=C(O2)C)C(C)(C)C"
5742521,"CC1=C(C(=CC=C1)C)NC2=NN=C(S2)SCC(=O)C(=C(C)N)C#N"
781328,"C1COCCN1C(=O)C2=CC=CC=C2C(=O)C3=CC=C(C=C3)Cl"
5428928,"CC1=C(C(=C2C=CC(=CC2=O)OC)ON1)C3=CC=C(O3)C(=O)OC(C)C"
2999174,"CC(CC1=CC=CS1)NC(=O)NC2CCCCC2"
680784,"C1=CC(=O)N(C=C1)CC(=O)C2=CC=CS2"
5549608,"C1=CC=C(C=C1)NC=C2C(=O)OC(=N2)C3=CC=CO3"
5742534,"CC(=C(C#N)C(=O)COC(=O)CCSC1=CC=CC=C1)N"
2553295,"CN1C2=CC=CC=C2SC1=NC(=O)C3CCN(CC3)S(=O)(=O)C4=CC=CS4"
2999384,"CC1=C(SC=C1)C2NC3=CC=CC=C3C(=O)N2"
2337199,"CC(C)NC1=C(N=C(O1)C2=CC=C(C=C2)OC)C#N"
2999595,"CCCNC(=O)NC(=O)CSC1=NC2=CC=CC=C2N1CC(C)C"
6362174,"C1=CC=C2C(=C1)C(=NC2=NC3=CC=CC=N3)NC4=CC=CC=N4"
5692638,"C1=CC=C2C(=C1)NC(=C(C#N)C(=O)COC(=O)CCCNC(=O)C3=CC=C(C=C3)Cl)N2"
712745,"CC(C)(C)NC(=O)CN1C=NC2=C1C(=O)N(C(=O)N2C)C"
5742560,"CCCN1C(=O)C2=CC=CC=C2N3C1=NN=C3SCC(=O)C(=C(C)N)C#N"
2618589,"CCN1C(=NN=C1SCC(=O)C2=C(C(=C(N2)C)C(=O)C)C)C3=CC=NC=C3"
2587014,"CC1=CC(=NC2=NC(=NN12)SCN3C(=O)C4=CC=CC=C4C3=O)C"
2999999,"CC1=CC=CC=C1OC2=NN=C(C=C2)OC3=CC=CC=C3C"
5859319,"C1=CC=C2C(=C1)C(=C3NN=C(O3)SCC4=CN5C=C(C=CC5=N4)Cl)C=N2"
2147582,"C1COCCN1S(=O)(=O)C2=CC=C(C=C2)NC(=O)C3=CC=C(S3)Cl"
5343371,"CC1CCCN(C1)CC(COC2=CC=C(C=C2)Cl)O.Cl"
2316531,"C1CCC2=NN=C(N2CC1)CN(C3=CC=CC=C3)C(=O)NC4=CC=C(C=C4)Cl"
2576419,"CCCN1C(=O)NN=C1SCC(=O)NC(=O)NC2=C(C=C(C=C2)C)C"
2571528,"CC1=CC(=NO1)NC(=O)COC(=O)CSCC2=CC(=C(C=C2)Cl)Cl"
2055363,"CCCCCN1C(=C(C2=NC3=CC=CC=C3N=C21)C#N)N"
5742582,"CC(C(C(=O)OCC(=O)C(=C(C)N)C#N)NS(=O)(=O)C1=CC=C(C=C1)Cl)O"
3000215,"C1CN(CCN1C2=CC=C(C=C2)F)C(=O)C3COC4=CC=CC=C4O3"
3235757,"CC1=CC(=C2C(=C1)SC(=N2)N3CCCC(C3)C(=O)NCCN4CCOCC4)C"
3235856,"COC1=C(C=C(C=C1)CCN2C(=O)C3=C(C=C(C=C3)C(=O)NCCCN4CCOCC4)NC2=O)OC"
3235898,"CC1=C(OC=N1)C(=O)NC2=C(C=CC(=C2)Cl)OC"
2159407,"COC1=CC=C(C=C1)N2C(=NN=C2SCC(=O)OC)CNC(=O)C3=CC=CC=C3OC"
3236046,"CC1=CC=C(C=C1)S(=O)(=O)C2(CC2)C(=O)N(C)C3CCCCC3"
3236193,"C1CCCC(CCC1)NC(=O)C2CCN(CC2)S(=O)(=O)N3CCC4(CC3)OCCO4"
3236259,"CC(C)CN(CCCNC(=O)CC1C(=O)NC2=CC=CC=C2O1)CC(C)C"
300385,"C1=CC=C(C=C1)C2=NNC3=CC=CC=C32"
582245,"CN1C=NN=C1SCC(=O)NCC2=CC(=CC=C2)C(F)(F)F"
3236484,"CC1=CC=C(C=C1)CN2C3=C(C(=O)N(C=N3)CC(=O)N4CCN(CC4)C5=CC=CC=C5)N=N2"
3236554,"CC1=C(C=C(C=C1)NC(=O)C2=C(N=CO2)C)Cl"
3236642,"CCOC(=O)C1=C(C(=C(N1C)C)C(=O)NCCCOC(C)C)C"
2909291,"COC1=CC=CC=C1NC(=O)CCN2C(=O)C3CC=C(CC3C2=O)Cl"
3237689,"CC1=CC=C(C=C1)N2C(=NN=C2SCC(=O)N)CC3=CC=CN3C"
3237690,"COC1=CC=CC=C1C2=CC(=NO2)C(=O)N3CCN(CC3)C4=CC=CC=C4OC"
3237707,"C1CN(CCC12OCCO2)C(=O)C3=CC(=NC4=CC=CC=C43)C5=CC=CC=C5"
3237796,"CC1=CSC2=NC=C(C(=O)N12)C(=O)NC3=NOC=C3"
3238149,"CC1(CC(=O)C2=C(O1)C=CC(=C2)OCC(=O)O)C"
3238178,"CC1=CC=C(C=C1)SC2=C(C=C(C=C2)C(=O)OC)N"
3238220,"CCOC(=O)C1CCCN(C1)C(=O)CN2C(=O)COC3=C2C=C(C=C3)C(C)(C)C"
3238240,"CC(C)NC(=O)C1=NOC(=C1)C2=CC=CC=C2OC"
3238413,"CCOC(=O)C1CCN(CC1)C(=O)C2CCN(CC2)S(=O)(=O)CC"
3238575,"COC1=CC(=C(C=C1)OC)NC(=O)CN2C3=CC=CC=C3C4(C2=O)OCCCO4"
2157316,"CCOC(=O)C1=C(C2=CC=CC=C2N1)NC(=O)C3=CC=C(O3)Br"
3238662,"CCN1CCN(CC1)C(C2=CC=CS2)C(C)NC(=O)C3=C(C(=CC=C3)OC)OC"
3240208,"C1CCN(C1)C(=O)CCN2C(=O)C=CC(=N2)C3=CC=CC=C3"
3240222,"C1COCCN1C(=O)CCN2C(=O)C=CC(=N2)C3=CC=CC=C3"
3240263,"C1=CN=CC=C1CNCCCCCC(=O)O"
3240474,"CC(C)C1=CC=C(C=C1)N(C2CS(=O)(=O)C=C2)C(=O)COC"
3240501,"CCS(=O)(=O)N1CCC(CC1)C(=O)NCC2=CN=CC=C2"
3240587,"CC1=CC=C(C=C1)N2C3=C(C(=O)N(C=N3)CC(=O)N4CCCC4)N=N2"
3240676,"CC1=CC(=CC=C1)N2C(=NNC2=S)CNC(=O)C3=CC(=CC=C3)OC"
3240763,"CCC1C(=O)N(C2=CC=CC=C2O1)CC(=O)NCCCN3CCC(CC3)C"
3240991,"COC1=CC=CC(=C1)CNC(=O)C2CCCN(C2)C3=NC4=CC=CC=C4O3"
3241035,"COC(=O)C1=CC(=CC(=C1)NS(=O)(=O)C2=CC3=C(C=C2)NC(=O)CC3)C(=O)OC"
9555288,"CN(C)C(=O)OC1=C(C=C(C=C1)C=NN2C=NN=C2)OC"
3241087,"CC1=C(OC2=C1C=C(C=C2)S(=O)(=O)N3CCOCC3)C(=O)NC4=CC=CC(=C4)C(F)(F)F"
3241164,"CCCCS(=O)(=O)NC1=NCN(CN1)CC"
2157557,"CN1C=C(C2=CC=CC=C21)S(=O)(=O)CC(=O)NC3=CC4=C(C=C3)OCO4"
3241238,"CNC(=O)C1=CC=C(C=C1)OC2=CC=C(C=C2)C(=O)NC"
3241252,"C1CCN(CC1)C(=O)C2CC(=NO2)C3=CC=C(C=C3)F"
3241267,"COC1=CC(=C(C=C1)C(=O)NCCN2C=CC3=CC=CC=C32)OC"
3241289,"COC1=CC=C(C=C1)CNC2=NC(=NC3=CC=CC=C32)SCC(=O)NCC4=CC=CO4"
3241298,"CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)NC3=C4CS(=O)(=O)CC4=NN3C5=CC=C(C=C5)OC"
3241525,"CCC1C(=O)N(C2=C(O1)C=CC(=C2)Cl)CC(=O)OCC"
